gene_id	gene_name	gene_type
ENSG00000246067.6	1394	lincRNA
ENSG00000246095.2	210	lincRNA
ENSG00000246898.1	343	lincRNA
ENSG00000247095.2	694	lincRNA
ENSG00000247134.5	723	lincRNA
ENSG00000247157.5	227	lincRNA
ENSG00000247363.2	189	lincRNA
ENSG00000247400.3	768	lincRNA
ENSG00000247516.4	365	lincRNA
ENSG00000247982.5	1043	lincRNA
ENSG00000248161.4	234	lincRNA
ENSG00000248243.1	170	lincRNA
ENSG00000248323.4	169	lincRNA
ENSG00000248360.6	328	lincRNA
ENSG00000248489.1	656	lincRNA
ENSG00000248508.5	971	lincRNA
ENSG00000248693.1	563	lincRNA
ENSG00000248714.5	295	lincRNA
ENSG00000248727.4	167	lincRNA
ENSG00000248866.1	1103	lincRNA
ENSG00000249096.5	334	lincRNA
ENSG00000249430.1	332	lincRNA
ENSG00000249526.1	193	lincRNA
ENSG00000249599.1	156	lincRNA
ENSG00000249685.1	539	lincRNA
ENSG00000249790.2	214	lincRNA
ENSG00000249806.1	227	lincRNA
ENSG00000249846.5	480	lincRNA
ENSG00000249859.6	1462	lincRNA
ENSG00000250015.1	487	lincRNA
ENSG00000250057.1	234	lincRNA
ENSG00000250081.1	602	lincRNA
ENSG00000250378.1	186	lincRNA
ENSG00000250508.1	245	lincRNA
ENSG00000250635.1	234	lincRNA
ENSG00000250673.1	167	lincRNA
ENSG00000250742.1	1010	lincRNA
ENSG00000250786.1	502	lincRNA
ENSG00000250899.3	229	lincRNA
ENSG00000250903.7	273	lincRNA
ENSG00000250950.1	155	lincRNA
ENSG00000251009.2	242	lincRNA
ENSG00000251136.7	709	lincRNA
ENSG00000251230.4	286	lincRNA
ENSG00000251259.1	677	lincRNA
ENSG00000251301.5	718	lincRNA
ENSG00000251323.2	333	lincRNA
ENSG00000251381.5	196	lincRNA
ENSG00000251417.2	208	lincRNA
ENSG00000251432.5	382	lincRNA
ENSG00000251442.4	677	lincRNA
ENSG00000251562.6	1538	lincRNA
ENSG00000251580.1	1241	lincRNA
ENSG00000251611.1	241	lincRNA
ENSG00000251615.3	932	lincRNA
ENSG00000253140.1	481	lincRNA
ENSG00000253154.1	211	lincRNA
ENSG00000253161.4	313	lincRNA
ENSG00000253263.1	197	lincRNA
ENSG00000253361.1	246	lincRNA
ENSG00000253364.1	386	lincRNA
ENSG00000253385.1	243	lincRNA
ENSG00000253395.1	327	lincRNA
ENSG00000253476.1	456	lincRNA
ENSG00000253490.4	198	lincRNA
ENSG00000253522.3	855	lincRNA
ENSG00000253633.1	471	lincRNA
