gene_id	score	gene_type
ENSG00000175130.6	3.090314494	protein_coding
ENSG00000060982.13	3.090087085	protein_coding
ENSG00000137133.9	3.089886147	protein_coding
ENSG00000101327.7	3.084988122	protein_coding
ENSG00000147231.12	3.083995741	protein_coding
ENSG00000153093.17	3.083249801	protein_coding
ENSG00000135040.14	3.082928882	protein_coding
ENSG00000186340.13	3.082313016	protein_coding
ENSG00000145194.16	3.081703413	protein_coding
ENSG00000131480.7	3.081551948	protein_coding
ENSG00000102034.15	3.081466926	protein_coding
ENSG00000157064.9	3.08100834	protein_coding
ENSG00000183963.17	3.080963102	protein_coding
ENSG00000179314.12	3.080840448	protein_coding
ENSG00000080644.14	3.080710842	protein_coding
ENSG00000118263.13	3.079843732	protein_coding
ENSG00000182634.7	3.078772483	protein_coding
ENSG00000145782.11	3.077561795	protein_coding
ENSG00000136942.13	3.077312812	protein_coding
ENSG00000139112.9	3.07712022	protein_coding
ENSG00000148841.14	3.077002396	protein_coding
ENSG00000163811.10	3.074882817	protein_coding
ENSG00000183024.3	3.074311177	protein_coding
ENSG00000104219.11	3.073891881	protein_coding
ENSG00000169228.12	3.072947552	protein_coding
ENSG00000134686.15	3.072603999	protein_coding
ENSG00000137142.4	3.072055587	protein_coding
ENSG00000005379.14	3.072010961	protein_coding
ENSG00000163499.10	3.071998284	protein_coding
ENSG00000013293.5	3.071256294	protein_coding
ENSG00000169064.11	3.070401839	protein_coding
ENSG00000204060.5	3.068116377	protein_coding
ENSG00000144045.12	3.06766706	protein_coding
ENSG00000197779.12	3.066267289	protein_coding
ENSG00000010671.14	3.064987555	protein_coding
ENSG00000188215.8	3.063538356	protein_coding
ENSG00000153822.12	3.063062787	protein_coding
ENSG00000101435.4	3.062421516	protein_coding
ENSG00000186310.9	3.061929691	protein_coding
ENSG00000204505.4	3.061803879	protein_coding
ENSG00000112116.9	3.061726082	protein_coding
ENSG00000162645.11	3.061071832	protein_coding
ENSG00000170370.11	3.059476992	protein_coding
ENSG00000134247.9	3.057898594	protein_coding
ENSG00000129933.19	3.05750178	protein_coding
ENSG00000171840.10	3.057197996	protein_coding
ENSG00000138674.15	3.057044509	protein_coding
ENSG00000056291.16	3.056477788	protein_coding
ENSG00000243978.7	3.056407097	protein_coding
ENSG00000184545.9	3.054173776	protein_coding
ENSG00000117593.9	3.054043073	protein_coding
ENSG00000272104.1	3.053818764	protein_coding
ENSG00000140285.8	3.053048671	protein_coding
ENSG00000164167.8	3.052270371	protein_coding
ENSG00000100519.10	3.051334569	protein_coding
ENSG00000204928.1	3.051131618	protein_coding
ENSG00000163283.6	3.050646756	protein_coding
ENSG00000115211.14	3.05051073	protein_coding
ENSG00000082458.10	3.048061146	protein_coding
ENSG00000162006.8	3.044709647	protein_coding
ENSG00000152910.17	3.044391993	protein_coding
ENSG00000153230.4	3.044309778	protein_coding
ENSG00000186474.14	3.043197087	protein_coding
ENSG00000125454.10	3.042505916	protein_coding
ENSG00000165714.9	3.042382292	protein_coding
ENSG00000170836.10	3.039631009	protein_coding
ENSG00000279380.1	3.039530452	protein_coding
ENSG00000139656.6	3.039451703	protein_coding
ENSG00000240542.3	3.039296732	protein_coding
ENSG00000186766.7	3.038952338	protein_coding
ENSG00000108702.3	3.038507949	protein_coding
ENSG00000130997.15	3.038400063	protein_coding
ENSG00000164733.19	3.037818784	protein_coding
ENSG00000135604.9	3.037493762	protein_coding
ENSG00000136929.11	3.037438735	protein_coding
ENSG00000133997.10	3.036524388	protein_coding
ENSG00000134460.14	3.036099824	protein_coding
ENSG00000231068.1	3.036017705	protein_coding
ENSG00000158104.10	3.03587192	protein_coding
